created,survey_name,operator,instrument_serial_number,line,instr_height_from,instr_height_to,tie,std,source
2023-04-14,1089_VG-20231404,DANIL,22090458,1,214.0,700.0,-141.9222855740672,5.69810516541936,example/talg/1089/vertical_gradient/20230414/raw/CG-6_0458_1089_VG-20231404.dat
2023-04-14,1089_VG-20231404,DANIL,22090458,2,718.0,1119.0,-135.4369566144688,9.124500605384723,example/talg/1089/vertical_gradient/20230414/raw/CG-6_0458_1089_VG-20231404.dat
2023-04-14,1089_VG-20231404,DANIL,22090458,3,1119.0,213.0,274.2158813142161,1.3124788230340114,example/talg/1089/vertical_gradient/20230414/raw/CG-6_0458_1089_VG-20231404.dat
