date,station,observer,gravimeter,runn,level_1,level_2,delta_g,std,source
2023-02-20,1089-2359,LDANIL,22090461,1,215.0,214.0,-151212.51636460252,,example/CG-6_0461_1089-1253.dat
2023-02-20,1089-2359,LDANIL,22090461,3,211.0,207.0,148415.19730839538,15.329517193747188,example/CG-6_0461_1089-1253.dat
2023-02-20,1089-2359,LDANIL,22090461,2,215.0,215.0,2719.858195201001,21.745591410352173,example/CG-6_0461_1089-1253.dat
